set_id,ELEOMA,Car_Weight,Car_Type,CarProdYear
0000000532,DIESEL,5,일반탑차,2010
0000000533,DIESEL,5,일반탑차,2006
0000000534,DIESEL,5,일반탑차,2012
0000000535,DIESEL,5,일반탑차,2008
0000000536,DIESEL,3.5,일반탑차,2008
0000000537,DIESEL,5,일반탑차,2009
0000000538,DIESEL,5,일반탑차,2009
0000000539,DIESEL,5,일반탑차,2006
0000000540,DIESEL,3.5,일반탑차,2010
0000000541,DIESEL,3.5,일반탑차,2015
0000000542,DIESEL,5,일반탑차,2010
0000000543,DIESEL,5,일반탑차,2010
0000000544,DIESEL,5,일반탑차,2006
0000000545,DIESEL,5,일반탑차,2010
0000000546,DIESEL,5,일반탑차,2014
0000000547,DIESEL,5,일반탑차,2012
0000000548,DIESEL,5,일반탑차,2003
0000000549,DIESEL,5,일반탑차,2004
0000000550,DIESEL,5,일반탑차,2006
0000000551,DIESEL,5,일반탑차,2011
0000000552,DIESEL,5,일반탑차,2006
0000000553,DIESEL,5,조르다,2010
0000000554,DIESEL,5,일반탑차,2010
0000000555,DIESEL,5,일반탑차,2005
0000000556,DIESEL,5,일반탑차,2006
0000000557,DIESEL,5,일반탑차,2004
0000000558,DIESEL,5,일반탑차,2010
0000000559,DIESEL,5,일반탑차,2005
0000000560,DIESEL,5,일반탑차,2014
0000000561,DIESEL,5,일반탑차,2011
0000000562,DIESEL,5,일반탑차,2017
0000000563,DIESEL,14,조르다,2012
0000000564,DIESEL,5,일반탑차,2009
0000000565,DIESEL,5,일반탑차,2010
0000000566,DIESEL,4.5,조르다,2013
0000000567,DIESEL,5,조르다,2011
0000000568,DIESEL,2.5,일반탑차,2007
0000000569,DIESEL,2.5,일반탑차,2006
0000000570,DIESEL,5,조르다,2000
0000000571,DIESEL,5,조르다,2016
0000000572,DIESEL,5,조르다,2005
0000000573,DIESEL,3.5,일반탑차,2010
0000000574,DIESEL,5,일반탑차,2006
0000000575,DIESEL,14,조르다,2013
